code,description
762,Veterinary Supplies
763,Veterinary Surgeons
135,Video Hire
764,Video Services
765,Vineyard
766,Voluntary Organisation
767,Wallpaper Manufacturer/Supplier
768,Washing Machine Repairs And Servicing
769,Waste Disposal
976,Waste Paper
770,Watchmaker
136,Water Industry
771,Water Sports Centre
772,Waterproof Cover Manufacturer
773,Waterproof Cover Supplier
774,Weather Forecasting
775,Weather Services
776,Weights And Measures
777,Welding
778,Welfare Organisation
779,Whisky Blenders
137,Wholesaler
780,Window Cleaning
781,Wine And Spirit Merchants
782,Wine Bar
783,Wine Makers
784,Wire Rope Manufacturer
785,Wood Carving
786,Wood Preservation
880,Woodshavings Contractor
787,Woodworking
788,Woodworm And Dry Rot Control
789,Woollen Goods Manufacturer
790,Woollen Goods Shop
791,Woollen Mill
792,Wrought Iron Manufacturer
793,Yacht Building
794,Yacht Chandlery
877,Yacht Service And Management
795,Yarn Spinning
796,Youth Hostel Organisation
878,Youth Organisation
797,Zoo Operator
